file,blockType,key,legacySection,missingField,legacyId,legacySymbol,keyField,reason,source
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,GuiButton,game.buttonlayout1024.button.short_range_attack_defunct,Button1,helpDescMissing,300030,,,,
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.short_range_attack_defunct,Button1,helpDescMissing,300030,,,,
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.short_range_attack_defunct,Button1,helpDescMissing,300030,,,,
data/defs/ui/packages/legacy_imgui/game/mcl_choosecampaign.fit,GuiButton,game.choose_campaign.button.cancel_button,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_choosecampaign.fit,GuiButton,game.choose_campaign.button.accept_button,Button1,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_layout.fit,GuiButton,game.mission_selection.button.next_button_in_lower_right_corner,CMButton0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_layout.fit,GuiText,game.mission_selection.text.help_text_area,CMTextEntry3,textMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_layout.fit,GuiText,game.mission_selection.text.cbills_readout,CMTextEntry4,textMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_1.fit,GuiButton,game.mcl_cm_op1_1.button.mission_1,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_1.fit,GuiButton,game.mcl_cm_op1_1.button.mission_1,Button0,helpDescMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_2.fit,GuiButton,game.mcl_cm_op1_2.button.mission_2,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_2.fit,GuiButton,game.mcl_cm_op1_2.button.mission_2,Button0,helpDescMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_3.fit,GuiButton,game.mcl_cm_op1_3.button.mission_3,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_3.fit,GuiButton,game.mcl_cm_op1_3.button.mission_3,Button0,helpDescMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_4.fit,GuiButton,game.mcl_cm_op1_4.button.mission_4,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_4.fit,GuiButton,game.mcl_cm_op1_4.button.mission_4,Button0,helpDescMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
data/defs/ui/packages/legacy_imgui/game/mcl_cm_op1_5.fit,GuiButton,game.mcl_cm_op1_5.button.mission_5,Button0,helpCaptionMissing,0,IDS_undefined_string_sebi,legacy.strings.ids_undefined_string_sebi,symbol_only_from_strings_res_h,strings.res.h
