file,key,legacySection,legacyComment,visibleText,helpCaptionText,explicitAction,actionType,targetPageKey,targetFit,legacyMessage,needsActionReview
data/defs/ui/packages/legacy_imgui/defines/ui_elements.fit,ui.element.button,,,,,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.default_attack_defunct,Button0,default attack- DEFUNCT,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.short_range_attack_defunct,Button1,short range attack DEFUNCT,,Short-Range Attack Command (S),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.medium_attack_defunct,Button2,medium attack  DEFUNCT,,Medium-Range Attack Command (M),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.l_attack_defunct,Button3,l attack DEFUNCT,,Long-Range Attack Command (L),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.jump,Button4,jump,,Jump Command (J),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.run,Button5,run,,Run Command (SPACEBAR),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.guard,Button6,guard,,Guard Command (G),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.fire_from_current_pos,Button7,fire from current pos,,Fire from Current Position Command (C),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.stop,Button8,stop,,Stop/Hold Fire Command (BACKSPACE),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.info,Button9,info,,Info (I),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.objectives,Button10,objectives,,Objectives List (F9),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.pause_button_com_palette,Button11,PAUSE BUTTON - COM PALETTE,,System Menu (ESC),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.tac_map_tab,Button12,tac map tab,,Tactical Map,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.info_tab,Button13,info tab,,Unit Info,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.support_tab,Button14,support tab,,Support Palette,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.minelayer,Button15,minelayer,,Lay Mines Toggle Command (V),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.repair,Button16,repair,,Repair,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.salvage,Button17,salvage,,Recover,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.artillery_piece_supression_fire,Button18,artillery piece supression fire,,Suppression Fire Toggle Command (V),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.hold_position,Button19,hold position,,Hold Position Toggle Command (H),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.filler_button,Button20,filler button,,Hold Position Toggle Command (H),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.button,ScrollButton,,,,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.scroll_up,InfoButton0,scroll up,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.scroll_down,InfoButton1,scroll down,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.obj,PauseButton0,obj,OBJECTIVES,Objectives List,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.inmissionsave,PauseButton1,inmissionsave,QUICK SAVE,Quick Save,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.inmissionload,PauseButton2,inmissionload,QUICK LOAD,Quick Load,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.options,PauseButton3,options,OPTIONS,Options,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.restart_mission,PauseButton4,restart mission,ABORT MISSION,Abort Mission,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.exit,PauseButton5,exit,EXIT GAME,Exit Game,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.return_to_game,PauseButton6,return to game,RETURN TO GAME,Return to Game,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.default_attack_defunct,Button0,default attack- DEFUNCT,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.short_range_attack_defunct,Button1,short range attack DEFUNCT,,Short-Range Attack Command (S),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.medium_attack_defunct,Button2,medium attack  DEFUNCT,,Medium-Range Attack Command (M),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.l_attack_defunct,Button3,l attack DEFUNCT,,Long-Range Attack Command (L),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.jump,Button4,jump,,Jump Command (J),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.run,Button5,run,,Run Command (SPACEBAR),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.guard,Button6,guard,,Guard Command (G),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.fire_from_current_pos,Button7,fire from current pos,,Fire from Current Position Command (C),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.stop,Button8,stop,,Stop/Hold Fire Command (BACKSPACE),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.info,Button9,info,,Info (I),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.objectives,Button10,objectives,,Objectives List (F9),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.pause_button_com_palette,Button11,PAUSE BUTTON - COM PALETTE,,System Menu (ESC),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.tac_map_tab,Button12,tac map tab,,Tactical Map,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.info_tab,Button13,info tab,,Unit Info,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.support_tab,Button14,support tab,,Support Palette,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.minelayer,Button15,minelayer,,Lay Mines Toggle Command (V),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.repair,Button16,repair,,Repair,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.salvage,Button17,salvage,,Recover,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.artillery_piece_supression_fire,Button18,artillery piece supression fire,,Suppression Fire Toggle Command (V),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.hold_position,Button19,hold position,,Hold Position Toggle Command (H),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.filler_button,Button20,filler button,,Hold Position Toggle Command (H),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.button,ScrollButton,,,,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.scroll_up,InfoButton0,scroll up,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.scroll_down,InfoButton1,scroll down,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.obj,PauseButton0,obj,OBJECTIVES,Objectives List,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.inmissionsave,PauseButton1,inmissionsave,QUICK SAVE,Quick Save,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.inmissionload,PauseButton2,inmissionload,QUICK LOAD,Quick Load,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.options,PauseButton3,options,OPTIONS,Options,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.restart_mission,PauseButton4,restart mission,ABORT MISSION,Abort Mission,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.exit,PauseButton5,exit,EXIT GAME,Exit Game,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.return_to_game,PauseButton6,return to game,RETURN TO GAME,Return to Game,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.default_attack_defunct,Button0,default attack- DEFUNCT,,Default Range,false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.short_range_attack_defunct,Button1,short range attack DEFUNCT,,Short-Range Attack Command (S),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.medium_attack_defunct,Button2,medium attack  DEFUNCT,,Medium-Range Attack Command (M),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.l_attack_defunct,Button3,l attack DEFUNCT,,Long-Range Attack Command (L),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.jump,Button4,jump,,Jump Command (J),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.run,Button5,run,,Run Command (SPACEBAR),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.guard,Button6,guard,,Guard Command (G),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.fire_from_current_pos,Button7,fire from current pos,,Fire from Current Position Command (C),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.stop,Button8,stop,,Stop/Hold Fire Command (BACKSPACE),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.info,Button9,info,,Info (I),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.objectives,Button10,objectives,,Objectives List (F9),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.pause_button_com_palette,Button11,PAUSE BUTTON - COM PALETTE,,System Menu (ESC),false,,,,,true
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,game.buttonlayout1600.button.tac_map_tab,Button12,tac map tab,,Tactical Map,false,,,,,true
